Sprite,Position,Nickname,Species,Nature,Gender,ESV,HP_Type,Ability,Move1,Move2,Move3,Move4,HeldItem,HP,ATK,DEF,SPA,SPD,SPE,MetLoc,EggLoc,Ball,OT,Version,OTLang,Legal,CountryID,RegionID,DSRegionID,EC,PID,HP_IV,ATK_IV,DEF_IV,SPA_IV,SPD_IV,SPE_IV,EXP,Level,HP_EV,ATK_EV,DEF_EV,SPA_EV,SPD_EV,SPE_EV,Cool,Beauty,Cute,Smart,Tough,Sheen,Markings,NotOT,AbilityNum,GenderFlag,AltForms,PKRS_Strain,PKRS_Days,MetLevel,OT_Gender,FatefulFlag,IsEgg,IsNicknamed,IsShiny,TID,SID,TSV,Move1_PP,Move2_PP,Move3_PP,Move4_PP,Move1_PPUp,Move2_PPUp,Move3_PPUp,Move4_PPUp,Relearn1,Relearn2,Relearn3,Relearn4,Checksum,Friendship,OT_Affection,Egg_Year,Egg_Month,Egg_Day,Met_Year,Met_Month,Met_Day,Encounter
,BOX 2:09,CHANSEY,Chansey,Hardy,F,65535,Steel,,Pound,Tail Whip,Double Slap,(None),(None),141,7,11,52,52,26,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,12,1,11,8,8,0,7408,21,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,30,10,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:10,DRATINI,Dratini,Hardy,F,65535,Steel,,Wrap,Leer,Thunder Wave,(None),(None),31,18,15,15,15,15,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,14,5,7,0,0,3,1250,10,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,20,30,20,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:11,PONYTA,Ponyta,Hardy,M,65535,Ghost,,Ember,Tail Whip,(None),(None),(None),75,63,41,50,50,60,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,9,13,6,11,11,2,27000,30,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,25,30,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:12,HORSEA,Horsea,Hardy,F,65535,Fire,,Bubble,Smokescreen,(None),(None),(None),42,21,34,36,36,32,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,0,2,4,8,8,8,8000,20,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,30,20,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:13,HAUNTER,Haunter,Hardy,M,65535,Rock,,Lick,Confuse Ray,Night Shade,(None),(None),66,39,31,70,70,62,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,10,13,4,6,6,11,15244,27,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,30,10,15,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:14,CHARIZARD,Charizard,Hardy,M,65535,Dark,,Slash,Fly,Flamethrower,Swords Dance,(None),165,115,101,118,118,133,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,15,15,7,15,15,15,117360,50,10292,8840,8405,11127,11127,10744,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,32,24,15,48,3,3,0,3,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:15,SNORLAX,Snorlax,Hardy,M,65535,Dark,,Body Slam,Earthquake,Hyper Beam,Self-Destruct,(None),243,140,93,93,93,53,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,15,15,15,15,15,9,156250,50,4222,7283,4378,4848,4848,5267,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,24,16,8,8,3,3,3,3,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:16,DUGTRIO,Dugtrio,Hardy,M,65535,Dark,,Slash,Earthquake,Fissure,Sand Attack,(None),121,112,79,93,93,150,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,15,15,15,9,9,15,125000,50,8003,9394,5619,5851,5851,6614,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,20,10,5,15,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:17,JIGGLYPUFF,Jigglypuff,Hardy,F,65535,Bug,,Sing,Defense Curl,Pound,(None),(None),52,16,11,12,12,10,,,None,SILVER,,ENG (English),TRUE,N/A,N/A,N/A,0,0,14,1,9,6,6,1,1382,12,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,55330,0,0,15,40,35,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:18,FARFETCH'D,Farfetch’d,Hardy,M,65535,Bug,,Peck,Sand Attack,Leer,(None),(None),47,29,22,27,27,29,,,None,SILVER,,,TRUE,N/A,N/A,N/A,0,0,15,13,1,13,13,15,4096,16,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,55330,0,0,35,15,30,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:19,MEOWTH,Meowth,Hardy,F,65535,Dark,,Scratch,Growl,Bite,(None),(None),43,21,21,22,22,37,,,None,SILVER,,ENG (English),TRUE,N/A,N/A,N/A,0,0,15,7,15,15,15,13,4096,16,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,55330,0,0,35,40,25,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 3:01,MOLTRES,Moltres,Hardy,-,65535,Psychic,,Peck,Fire Spin,(None),(None),(None),161,116,103,141,141,100,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,11,11,8,11,11,5,156250,50,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,15,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 3:02,ONIX,Onix,Hardy,F,65535,Poison,,Rock Throw,Rage,Slam,Harden,(None),94,53,167,41,41,85,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,1,4,6,7,7,12,117649,49,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,15,20,20,30,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 3:03,POLIWHIRL,Poliwhirl,Hardy,M,65535,Dark,,Hypnosis,Water Gun,Double Slap,Body Slam,(None),114,69,65,52,52,82,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,15,15,11,9,9,7,56660,40,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,20,25,10,15,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 3:04,MAGNETON,Magneton,Hardy,-,65535,Psychic,,Tackle,Sonic Boom,Thunder Shock,Supersonic,(None),81,51,67,86,86,52,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,8,11,0,4,4,2,35937,33,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,20,30,20,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 3:05,ARTICUNO,Articuno,Hardy,-,65535,Rock,,Peck,Ice Beam,(None),(None),(None),159,95,109,135,135,94,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,9,5,4,5,5,4,156250,50,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,10,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 3:06,SEEL,Seel,Hardy,F,65535,Grass,,Headbutt,(None),(None),(None),(None),75,31,39,45,45,36,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,2,2,6,2,2,11,21952,28,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,15,0,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 3:07,DITTO,Ditto,Hardy,-,65535,Steel,,Transform,(None),(None),(None),(None),64,30,33,30,30,34,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,15,5,11,5,5,13,13824,24,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,10,0,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 3:08,GROWLITHE,Growlithe,Hardy,M,65535,Bug,,Roar,Ember,Leer,Take Down,(None),82,50,35,42,42,45,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,15,5,5,13,13,7,33750,30,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,20,25,30,20,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 3:09,KABUTOPS,Kabutops,Hardy,M,65535,Steel,,Scratch,Harden,Absorb,Slash,(None),107,107,91,61,61,72,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,12,13,3,0,0,4,64000,40,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,30,20,20,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 3:10,OMASTAR,Omastar,Hardy,M,65535,Dark,,Water Gun,Withdraw,Horn Attack,Leer,(None),120,66,119,111,111,62,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,15,15,15,15,15,15,68921,41,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,40,0,40,48,3,3,3,3,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 3:11,ELECTRODE,Electrode,Hardy,-,65535,Grass,,Sonic Boom,Self-Destruct,Light Screen,Swift,(None),101,54,70,78,78,122,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,2,10,10,10,10,3,68921,41,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,20,5,30,20,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 3:12,BELLSPROUT,Bellsprout,Hardy,F,65535,Fighting,,Vine Whip,Growth,Cut,(None),(None),34,23,15,21,21,17,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,0,0,8,0,0,10,973,12,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,10,40,30,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 3:13,MAROWAK,Marowak,Hardy,M,65535,Water,,Bone Club,Tail Whip,Headbutt,Strength,(None),65,50,62,33,33,30,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,5,14,9,9,9,8,13824,24,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,20,30,15,15,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 3:14,CLEFABLE,Clefable,Hardy,M,65535,Dark,,Ice Beam,Metronome,Sing,Body Slam,(None),176,97,100,112,112,87,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,15,15,15,15,15,15,100000,50,2839,3570,3628,3061,3061,3317,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,14,16,13,24,3,3,3,3,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 3:15,PIKACHU,Pikachu,Hardy,M,65535,Dark,,Thunderbolt,Surf,Agility,Thunder,(None),146,93,66,89,89,130,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,15,15,15,15,15,15,140608,52,65535,14312,12484,17216,17216,16295,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,24,24,48,16,3,3,3,3,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
